mentor_id,name,gender,university,industry_role,domain,experience_years,skills,location,document_score,interview_score,verification_level,email,linkedin_profile,availability_hours,mentoring_style,languages,combined_verification_score,response_rate,average_rating,mentorship_capacity,current_mentees,total_sessions,alumni_source
M2045,Mentor_2045,Male,University of Peradeniya,Lecturer,AI/ML,19,"Data Analysis,Machine Learning,Cloud Computing",Kurunegala,96.0,89.0,Silver,mentor_2045@university.edu,https://linkedin.com/in/mentor_2045,6,casual,"English,Tamil",64.38,0.86,4.46,,,,
M2046,Mentor_2046,Male,University of Peradeniya,Lecturer,Cybersecurity,15,"Cloud Computing,Data Analysis,Python",Kurunegala,79.0,54.0,Bronze,mentor_2046@university.edu,https://linkedin.com/in/mentor_2046,4,flexible,English,78.91,0.82,3.92,,,,
M2047,Mentor_2047,Male,University of Colombo,Lecturer,Cybersecurity,5,"Cybersecurity,Cloud Computing,Java",Galle,56.0,60.0,Bronze,mentor_2047@university.edu,https://linkedin.com/in/mentor_2047,9,flexible,"English,Tamil",91.18,0.86,3.99,,,,
M2048,Mentor_2048,Female,University of Moratuwa,Consultant,Networking,17,"Data Analysis,Cybersecurity,Machine Learning",Galle,72.0,68.0,Gold,mentor_2048@university.edu,https://linkedin.com/in/mentor_2048,9,formal,"English,Tamil",92.12,0.7,3.69,,,,
M2049,Mentor_2049,Female,University of Colombo,Consultant,Software Engineering,19,"Cloud Computing,Python,Cybersecurity",Kurunegala,62.0,58.0,Bronze,mentor_2049@university.edu,https://linkedin.com/in/mentor_2049,3,flexible,"English,Tamil",87.22,0.94,4.61,,,,
M2050,Mentor_2050,Male,University of Kelaniya,Software Engineer,Data Science,20,"Machine Learning,Java,Python",Gampaha,87.0,85.0,Silver,mentor_2050@university.edu,https://linkedin.com/in/mentor_2050,16,structured,"English,Tamil",89.36,0.87,4.3,,,,
M2051,Mentor_2051,Male,IIT Sri Lanka,Lecturer,Data Science,10,"Python,Cybersecurity,Cloud Computing",Colombo,68.0,73.0,Bronze,mentor_2051@university.edu,https://linkedin.com/in/mentor_2051,4,casual,English,63.4,0.82,4.42,,,,
M2052,Mentor_2052,Female,University of Moratuwa,Software Engineer,Cybersecurity,2,"Cybersecurity,Java,Data Analysis",Kandy,68.0,67.0,Gold,mentor_2052@university.edu,https://linkedin.com/in/mentor_2052,8,casual,"English,Tamil",84.56,0.89,3.75,,,,
M2053,Mentor_2053,Male,University of Kelaniya,Lecturer,Cybersecurity,7,"Data Analysis,Cloud Computing,Machine Learning",Kandy,77.0,98.0,Gold,mentor_2053@university.edu,https://linkedin.com/in/mentor_2053,2,structured,"English,Sinhala",85.95,0.97,3.69,,,,
M2054,Mentor_2054,Male,SLIIT,Consultant,Software Engineering,19,"Cybersecurity,Machine Learning,Data Analysis",Kurunegala,79.0,99.0,Gold,mentor_2054@university.edu,https://linkedin.com/in/mentor_2054,5,flexible,English,91.15,0.95,4.9,,,,
M2055,Mentor_2055,Male,University of Kelaniya,Consultant,Software Engineering,12,"Cloud Computing,Cybersecurity,Data Analysis",Galle,65.0,63.0,Silver,mentor_2055@university.edu,https://linkedin.com/in/mentor_2055,2,casual,"English,Sinhala",90.63,0.87,4.0,,,,
M2056,Mentor_2056,Female,University of Moratuwa,Lecturer,AI/ML,3,"Cybersecurity,Data Analysis,Java",Gampaha,88.0,61.0,Silver,mentor_2056@university.edu,https://linkedin.com/in/mentor_2056,15,casual,English,63.41,0.99,3.99,,,,
M2057,Mentor_2057,Male,University of Peradeniya,Lecturer,Software Engineering,3,"Cybersecurity,Python,Java",Galle,58.0,83.0,Silver,mentor_2057@university.edu,https://linkedin.com/in/mentor_2057,12,formal,"English,Tamil",81.67,0.89,3.71,,,,
M2058,Mentor_2058,Female,NSBM,Data Scientist,AI/ML,8,"Python,Java,Data Analysis",Kurunegala,92.0,99.0,Gold,mentor_2058@university.edu,https://linkedin.com/in/mentor_2058,8,flexible,English,86.51,0.92,3.64,,,,
M2059,Mentor_2059,Female,University of Moratuwa,Data Scientist,Data Science,3,"Cloud Computing,Python,Data Analysis",Kandy,84.0,85.0,Bronze,mentor_2059@university.edu,https://linkedin.com/in/mentor_2059,7,formal,English,90.99,0.8,4.24,,,,
M2060,Mentor_2060,Female,SLIIT,Lecturer,AI/ML,13,"Machine Learning,Java,Data Analysis",Gampaha,97.0,75.0,Bronze,mentor_2060@university.edu,https://linkedin.com/in/mentor_2060,14,structured,"English,Tamil",74.46,0.74,4.51,,,,
M2061,Mentor_2061,Female,University of Moratuwa,Software Engineer,Business IT,8,"Machine Learning,Cloud Computing,Java",Galle,86.0,50.0,Bronze,mentor_2061@university.edu,https://linkedin.com/in/mentor_2061,8,structured,"English,Sinhala",81.03,0.78,4.59,,,,
M2062,Mentor_2062,Female,University of Kelaniya,Software Engineer,Software Engineering,19,"Java,Python,Cloud Computing",Kurunegala,59.0,55.0,Silver,mentor_2062@university.edu,https://linkedin.com/in/mentor_2062,7,casual,"English,Tamil",61.74,0.85,3.84,,,,
M2063,Mentor_2063,Female,IIT Sri Lanka,Lecturer,AI/ML,18,"Machine Learning,Data Analysis,Cloud Computing",Galle,79.0,57.0,Gold,mentor_2063@university.edu,https://linkedin.com/in/mentor_2063,5,casual,"English,Sinhala",92.55,0.87,4.63,,,,
M2064,Mentor_2064,Male,University of Moratuwa,Software Engineer,Business IT,18,"Java,Python,Data Analysis",Colombo,56.0,96.0,Bronze,mentor_2064@university.edu,https://linkedin.com/in/mentor_2064,6,flexible,English,85.83,0.76,4.34,,,,
M2065,Mentor_2065,Male,University of Moratuwa,Lecturer,Business IT,11,"Cloud Computing,Java,Python",Kandy,60.0,83.0,Gold,mentor_2065@university.edu,https://linkedin.com/in/mentor_2065,19,casual,"English,Sinhala",68.69,0.76,4.51,,,,
M2066,Mentor_2066,Female,University of Peradeniya,Consultant,AI/ML,8,"Data Analysis,Machine Learning,Cybersecurity",Kurunegala,87.0,51.0,Silver,mentor_2066@university.edu,https://linkedin.com/in/mentor_2066,5,structured,"English,Sinhala",81.75,0.9,3.68,,,,
M2067,Mentor_2067,Female,SLIIT,Lecturer,Cybersecurity,7,"Data Analysis,Python,Cloud Computing",Kandy,70.0,75.0,Gold,mentor_2067@university.edu,https://linkedin.com/in/mentor_2067,4,flexible,"English,Tamil",88.93,0.94,4.77,,,,
M2068,Mentor_2068,Female,University of Moratuwa,Data Scientist,Business IT,13,"Cybersecurity,Python,Machine Learning",Galle,88.0,69.0,Bronze,mentor_2068@university.edu,https://linkedin.com/in/mentor_2068,14,structured,"English,Sinhala",66.8,1.0,4.15,,,,
M2069,Mentor_2069,Female,University of Colombo,Lecturer,AI/ML,19,"Python,Java,Cloud Computing",Kandy,69.0,79.0,Silver,mentor_2069@university.edu,https://linkedin.com/in/mentor_2069,10,formal,"English,Tamil",94.19,0.93,4.94,,,,
M2070,Mentor_2070,Male,SLIIT,Consultant,Business IT,13,"Cybersecurity,Data Analysis,Cloud Computing",Kandy,52.0,76.0,Bronze,mentor_2070@university.edu,https://linkedin.com/in/mentor_2070,15,structured,English,65.26,0.83,4.47,,,,
M2071,Mentor_2071,Female,University of Moratuwa,Lecturer,AI/ML,10,"Machine Learning,Python,Cybersecurity",Colombo,53.0,79.0,Silver,mentor_2071@university.edu,https://linkedin.com/in/mentor_2071,2,formal,"English,Sinhala",89.29,0.76,4.92,,,,
M2072,Mentor_2072,Female,NSBM,Lecturer,Cybersecurity,4,"Data Analysis,Cybersecurity,Python",Kurunegala,51.0,51.0,Silver,mentor_2072@university.edu,https://linkedin.com/in/mentor_2072,13,casual,"English,Tamil",72.65,0.96,4.55,,,,
M2073,Mentor_2073,Male,University of Colombo,Software Engineer,Data Science,17,"Machine Learning,Cybersecurity,Cloud Computing",Gampaha,56.0,79.0,Gold,mentor_2073@university.edu,https://linkedin.com/in/mentor_2073,5,structured,"English,Sinhala",65.09,0.8,4.21,,,,
M2074,Mentor_2074,Male,University of Kelaniya,Consultant,Data Science,9,"Data Analysis,Machine Learning,Java",Gampaha,88.0,66.0,Silver,mentor_2074@university.edu,https://linkedin.com/in/mentor_2074,10,formal,"English,Tamil",93.33,0.78,4.02,,,,
M2075,Mentor_2075,Male,University of Colombo,Software Engineer,Software Engineering,19,"Java,Data Analysis,Python",Gampaha,52.0,82.0,Bronze,mentor_2075@university.edu,https://linkedin.com/in/mentor_2075,13,structured,"English,Sinhala",71.83,0.75,3.9,,,,
M2076,Mentor_2076,Female,University of Colombo,Software Engineer,Networking,17,"Machine Learning,Cloud Computing,Cybersecurity",Kandy,94.0,65.0,Silver,mentor_2076@university.edu,https://linkedin.com/in/mentor_2076,9,formal,"English,Tamil",78.0,0.77,4.45,,,,
M2077,Mentor_2077,Female,NSBM,Data Scientist,Business IT,5,"Java,Machine Learning,Cloud Computing",Galle,75.0,76.0,Silver,mentor_2077@university.edu,https://linkedin.com/in/mentor_2077,6,casual,English,87.33,0.93,4.98,,,,
M2078,Mentor_2078,Male,IIT Sri Lanka,Consultant,Data Science,11,"Python,Cybersecurity,Data Analysis",Galle,72.0,53.0,Gold,mentor_2078@university.edu,https://linkedin.com/in/mentor_2078,13,formal,"English,Tamil",86.81,0.8,3.66,,,,
M2079,Mentor_2079,Male,IIT Sri Lanka,Lecturer,Software Engineering,11,"Cloud Computing,Java,Cybersecurity",Gampaha,89.0,76.0,Silver,mentor_2079@university.edu,https://linkedin.com/in/mentor_2079,4,structured,"English,Tamil",94.28,0.78,3.61,,,,
M2080,Mentor_2080,Female,University of Peradeniya,Consultant,AI/ML,17,"Data Analysis,Java,Cloud Computing",Kandy,69.0,71.0,Bronze,mentor_2080@university.edu,https://linkedin.com/in/mentor_2080,2,casual,English,78.13,0.87,4.42,,,,
M2081,Mentor_2081,Female,IIT Sri Lanka,Software Engineer,Networking,14,"Data Analysis,Machine Learning,Java",Kurunegala,80.0,55.0,Gold,mentor_2081@university.edu,https://linkedin.com/in/mentor_2081,8,casual,English,66.44,0.99,4.19,,,,
M2082,Mentor_2082,Female,NSBM,Lecturer,Cybersecurity,8,"Cybersecurity,Cloud Computing,Machine Learning",Gampaha,100.0,86.0,Silver,mentor_2082@university.edu,https://linkedin.com/in/mentor_2082,3,flexible,English,82.99,0.77,3.78,,,,
M2083,Mentor_2083,Male,University of Kelaniya,Software Engineer,Networking,3,"Python,Cybersecurity,Data Analysis",Kandy,86.0,62.0,Bronze,mentor_2083@university.edu,https://linkedin.com/in/mentor_2083,12,structured,"English,Tamil",80.76,0.72,4.69,,,,
M2084,Mentor_2084,Male,IIT Sri Lanka,Software Engineer,Networking,14,"Cybersecurity,Data Analysis,Java",Kandy,74.0,51.0,Bronze,mentor_2084@university.edu,https://linkedin.com/in/mentor_2084,8,structured,"English,Sinhala",88.15,0.87,4.35,,,,
M2085,Mentor_2085,Male,NSBM,Consultant,AI/ML,15,"Python,Machine Learning,Cloud Computing",Galle,51.0,81.0,Bronze,mentor_2085@university.edu,https://linkedin.com/in/mentor_2085,12,casual,English,67.02,0.92,4.8,,,,
M2086,Mentor_2086,Male,IIT Sri Lanka,Consultant,Data Science,2,"Java,Data Analysis,Cloud Computing",Gampaha,97.0,90.0,Silver,mentor_2086@university.edu,https://linkedin.com/in/mentor_2086,18,casual,English,80.26,0.79,3.78,,,,
M2087,Mentor_2087,Female,SLIIT,Data Scientist,Cybersecurity,7,"Machine Learning,Java,Python",Kandy,71.0,98.0,Gold,mentor_2087@university.edu,https://linkedin.com/in/mentor_2087,10,structured,"English,Tamil",61.16,0.73,3.61,,,,
M2088,Mentor_2088,Male,SLIIT,Lecturer,AI/ML,5,"Data Analysis,Machine Learning,Cloud Computing",Kandy,74.0,98.0,Bronze,mentor_2088@university.edu,https://linkedin.com/in/mentor_2088,7,structured,English,66.61,0.84,4.18,,,,
M2089,Mentor_2089,Male,University of Moratuwa,Software Engineer,Cybersecurity,19,"Cloud Computing,Cybersecurity,Python",Galle,93.0,60.0,Gold,mentor_2089@university.edu,https://linkedin.com/in/mentor_2089,17,casual,"English,Tamil",89.18,0.72,4.52,,,,
M2090,Mentor_2090,Male,IIT Sri Lanka,Data Scientist,Software Engineering,17,"Python,Machine Learning,Cybersecurity",Galle,54.0,100.0,Silver,mentor_2090@university.edu,https://linkedin.com/in/mentor_2090,10,flexible,"English,Tamil",87.57,0.93,4.26,,,,
M2091,Mentor_2091,Male,SLIIT,Data Scientist,Software Engineering,17,"Machine Learning,Data Analysis,Cybersecurity",Kandy,50.0,57.0,Gold,mentor_2091@university.edu,https://linkedin.com/in/mentor_2091,19,formal,"English,Tamil",88.65,0.88,4.49,,,,
M2092,Mentor_2092,Female,University of Moratuwa,Data Scientist,Cybersecurity,20,"Java,Machine Learning,Cybersecurity",Kurunegala,53.0,100.0,Gold,mentor_2092@university.edu,https://linkedin.com/in/mentor_2092,11,formal,English,91.51,0.94,4.96,,,,
M2093,Mentor_2093,Female,University of Peradeniya,Lecturer,AI/ML,9,"Cloud Computing,Python,Java",Galle,75.0,84.0,Silver,mentor_2093@university.edu,https://linkedin.com/in/mentor_2093,19,flexible,"English,Sinhala",73.27,0.8,4.41,,,,
M2094,Mentor_2094,Male,NSBM,Consultant,Cybersecurity,16,"Machine Learning,Python,Java",Kandy,60.0,53.0,Gold,mentor_2094@university.edu,https://linkedin.com/in/mentor_2094,15,structured,English,62.35,0.95,3.85,,,,
M2095,Mentor_2095,Female,IIT Sri Lanka,Consultant,Cybersecurity,12,"Java,Machine Learning,Cloud Computing",Galle,65.0,53.0,Gold,mentor_2095@university.edu,https://linkedin.com/in/mentor_2095,5,flexible,"English,Tamil",63.28,0.84,4.91,,,,
M2096,Mentor_2096,Male,University of Colombo,Consultant,AI/ML,9,"Cloud Computing,Python,Java",Galle,52.0,73.0,Bronze,mentor_2096@university.edu,https://linkedin.com/in/mentor_2096,11,flexible,English,77.88,0.75,4.54,,,,
M2097,Mentor_2097,Female,University of Kelaniya,Data Scientist,AI/ML,16,"Cybersecurity,Cloud Computing,Java",Colombo,79.0,87.0,Gold,mentor_2097@university.edu,https://linkedin.com/in/mentor_2097,9,formal,"English,Sinhala",61.19,0.79,4.03,,,,
M2098,Mentor_2098,Female,University of Kelaniya,Data Scientist,Networking,13,"Data Analysis,Cloud Computing,Java",Gampaha,60.0,73.0,Gold,mentor_2098@university.edu,https://linkedin.com/in/mentor_2098,8,flexible,"English,Tamil",93.03,0.81,3.68,,,,
M2099,Mentor_2099,Female,NSBM,Lecturer,Software Engineering,19,"Java,Cloud Computing,Data Analysis",Kurunegala,85.0,66.0,Silver,mentor_2099@university.edu,https://linkedin.com/in/mentor_2099,17,flexible,English,85.02,0.8,3.5,,,,
M2100,Mentor_2100,Male,NSBM,Consultant,Data Science,13,"Machine Learning,Cloud Computing,Java",Kandy,53.0,98.0,Gold,mentor_2100@university.edu,https://linkedin.com/in/mentor_2100,13,formal,"English,Tamil",82.9,0.73,4.12,,,,
M2101,Mentor_2101,Female,IIT Sri Lanka,Lecturer,AI/ML,12,"Machine Learning,Data Analysis,Python",Galle,95.0,74.0,Silver,mentor_2101@university.edu,https://linkedin.com/in/mentor_2101,4,structured,"English,Tamil",90.42,0.95,4.5,,,,
M2102,Mentor_2102,Female,NSBM,Data Scientist,Data Science,7,"Python,Cybersecurity,Machine Learning",Kurunegala,52.0,88.0,Silver,mentor_2102@university.edu,https://linkedin.com/in/mentor_2102,9,formal,English,70.5,0.89,3.95,,,,
M2103,Mentor_2103,Female,NSBM,Data Scientist,Business IT,10,"Cybersecurity,Python,Machine Learning",Colombo,87.0,96.0,Gold,mentor_2103@university.edu,https://linkedin.com/in/mentor_2103,12,structured,English,75.67,0.86,4.8,,,,
M2104,Mentor_2104,Male,NSBM,Software Engineer,Software Engineering,8,"Cybersecurity,Machine Learning,Cloud Computing",Kurunegala,53.0,89.0,Silver,mentor_2104@university.edu,https://linkedin.com/in/mentor_2104,14,formal,English,85.62,0.94,4.96,,,,
M2105,Mentor_2105,Male,IIT Sri Lanka,Software Engineer,Data Science,20,"Cybersecurity,Data Analysis,Python",Kandy,51.0,91.0,Bronze,mentor_2105@university.edu,https://linkedin.com/in/mentor_2105,14,formal,"English,Tamil",92.25,0.83,4.78,,,,
M2106,Mentor_2106,Female,University of Colombo,Consultant,Data Science,18,"Machine Learning,Java,Python",Kandy,87.0,61.0,Bronze,mentor_2106@university.edu,https://linkedin.com/in/mentor_2106,16,structured,English,79.68,0.79,4.78,,,,
M2107,Mentor_2107,Female,University of Peradeniya,Consultant,Networking,6,"Python,Java,Machine Learning",Kurunegala,57.0,67.0,Gold,mentor_2107@university.edu,https://linkedin.com/in/mentor_2107,10,structured,English,94.15,0.76,3.91,,,,
M2108,Mentor_2108,Female,University of Moratuwa,Consultant,Data Science,10,"Python,Java,Data Analysis",Kandy,73.0,96.0,Silver,mentor_2108@university.edu,https://linkedin.com/in/mentor_2108,7,casual,"English,Tamil",67.36,0.86,4.88,,,,
M2109,Mentor_2109,Male,University of Colombo,Lecturer,Data Science,20,"Java,Machine Learning,Cloud Computing",Colombo,50.0,87.0,Silver,mentor_2109@university.edu,https://linkedin.com/in/mentor_2109,9,casual,English,73.32,0.97,4.95,,,,
M2110,Mentor_2110,Male,NSBM,Lecturer,Software Engineering,6,"Python,Java,Cloud Computing",Kandy,52.0,57.0,Gold,mentor_2110@university.edu,https://linkedin.com/in/mentor_2110,7,formal,English,76.31,0.82,3.98,,,,
M2111,Mentor_2111,Male,University of Peradeniya,Software Engineer,Networking,20,"Data Analysis,Python,Machine Learning",Galle,55.0,98.0,Silver,mentor_2111@university.edu,https://linkedin.com/in/mentor_2111,7,formal,"English,Sinhala",64.52,0.98,4.46,,,,
M2112,Mentor_2112,Male,University of Moratuwa,Data Scientist,Business IT,4,"Python,Data Analysis,Cybersecurity",Kurunegala,50.0,97.0,Gold,mentor_2112@university.edu,https://linkedin.com/in/mentor_2112,16,structured,"English,Tamil",61.44,0.98,4.46,,,,
M2113,Mentor_2113,Male,University of Peradeniya,Lecturer,Networking,2,"Cybersecurity,Cloud Computing,Java",Galle,80.0,92.0,Silver,mentor_2113@university.edu,https://linkedin.com/in/mentor_2113,2,structured,"English,Sinhala",74.98,0.96,4.44,,,,
M2114,Mentor_2114,Male,SLIIT,Lecturer,Business IT,14,"Data Analysis,Java,Cloud Computing",Galle,79.0,97.0,Gold,mentor_2114@university.edu,https://linkedin.com/in/mentor_2114,18,casual,"English,Tamil",67.18,0.92,3.78,,,,
M2115,Mentor_2115,Male,NSBM,Consultant,AI/ML,6,"Cybersecurity,Python,Java",Kandy,77.0,77.0,Gold,mentor_2115@university.edu,https://linkedin.com/in/mentor_2115,4,structured,English,84.34,0.9,4.16,,,,
M2116,Mentor_2116,Male,University of Moratuwa,Lecturer,Software Engineering,11,"Data Analysis,Python,Java",Kurunegala,95.0,69.0,Silver,mentor_2116@university.edu,https://linkedin.com/in/mentor_2116,8,casual,"English,Tamil",74.04,0.94,4.5,,,,
M2117,Mentor_2117,Male,University of Colombo,Data Scientist,AI/ML,11,"Data Analysis,Cloud Computing,Python",Kandy,71.0,68.0,Silver,mentor_2117@university.edu,https://linkedin.com/in/mentor_2117,10,structured,English,70.11,0.81,4.84,,,,
M2118,Mentor_2118,Male,University of Kelaniya,Software Engineer,Networking,14,"Cybersecurity,Data Analysis,Machine Learning",Gampaha,59.0,92.0,Bronze,mentor_2118@university.edu,https://linkedin.com/in/mentor_2118,5,structured,English,87.85,0.81,4.98,,,,
M2119,Mentor_2119,Male,IIT Sri Lanka,Consultant,Business IT,7,"Python,Java,Data Analysis",Kurunegala,85.0,55.0,Bronze,mentor_2119@university.edu,https://linkedin.com/in/mentor_2119,5,flexible,English,60.51,0.88,3.51,,,,
M2120,Mentor_2120,Female,University of Moratuwa,Lecturer,Software Engineering,13,"Data Analysis,Cloud Computing,Java",Galle,98.0,53.0,Bronze,mentor_2120@university.edu,https://linkedin.com/in/mentor_2120,8,flexible,English,80.32,0.97,3.78,,,,
M2121,Mentor_2121,Male,University of Peradeniya,Software Engineer,Business IT,19,"Java,Data Analysis,Machine Learning",Kandy,97.0,70.0,Bronze,mentor_2121@university.edu,https://linkedin.com/in/mentor_2121,10,formal,English,87.44,0.9,3.67,,,,
M2122,Mentor_2122,Female,NSBM,Software Engineer,Cybersecurity,20,"Data Analysis,Machine Learning,Java",Gampaha,53.0,58.0,Bronze,mentor_2122@university.edu,https://linkedin.com/in/mentor_2122,4,structured,English,72.9,0.89,4.92,,,,
M2123,Mentor_2123,Female,University of Peradeniya,Lecturer,Software Engineering,3,"Machine Learning,Data Analysis,Cybersecurity",Kandy,92.0,56.0,Bronze,mentor_2123@university.edu,https://linkedin.com/in/mentor_2123,6,structured,"English,Sinhala",70.6,0.97,4.04,,,,
M2124,Mentor_2124,Male,IIT Sri Lanka,Data Scientist,Networking,17,"Cybersecurity,Machine Learning,Data Analysis",Galle,69.0,92.0,Bronze,mentor_2124@university.edu,https://linkedin.com/in/mentor_2124,18,flexible,English,86.85,0.97,4.65,,,,
M2125,Mentor_2125,Male,IIT Sri Lanka,Software Engineer,Data Science,4,"Java,Data Analysis,Cybersecurity",Colombo,76.0,50.0,Bronze,mentor_2125@university.edu,https://linkedin.com/in/mentor_2125,18,flexible,"English,Sinhala",61.47,0.83,3.92,,,,
M2126,Mentor_2126,Male,IIT Sri Lanka,Software Engineer,Software Engineering,14,"Cloud Computing,Java,Machine Learning",Gampaha,67.0,94.0,Silver,mentor_2126@university.edu,https://linkedin.com/in/mentor_2126,14,flexible,"English,Tamil",94.69,0.77,3.54,,,,
M2127,Mentor_2127,Male,IIT Sri Lanka,Software Engineer,Data Science,8,"Data Analysis,Java,Cloud Computing",Gampaha,66.0,88.0,Gold,mentor_2127@university.edu,https://linkedin.com/in/mentor_2127,10,flexible,"English,Sinhala",71.15,0.78,4.84,,,,
M2128,Mentor_2128,Male,University of Peradeniya,Lecturer,Data Science,16,"Cybersecurity,Machine Learning,Cloud Computing",Kandy,99.0,99.0,Gold,mentor_2128@university.edu,https://linkedin.com/in/mentor_2128,5,formal,English,65.76,0.8,4.8,,,,
M2129,Mentor_2129,Male,SLIIT,Lecturer,Cybersecurity,18,"Machine Learning,Data Analysis,Python",Kandy,70.0,53.0,Bronze,mentor_2129@university.edu,https://linkedin.com/in/mentor_2129,17,flexible,"English,Sinhala",76.24,0.71,4.18,,,,
M2130,Mentor_2130,Male,University of Moratuwa,Data Scientist,Software Engineering,10,"Cloud Computing,Data Analysis,Java",Galle,55.0,61.0,Bronze,mentor_2130@university.edu,https://linkedin.com/in/mentor_2130,2,structured,"English,Tamil",75.69,0.99,4.46,,,,
M2131,Mentor_2131,Male,University of Peradeniya,Data Scientist,Cybersecurity,17,"Java,Cloud Computing,Machine Learning",Galle,73.0,61.0,Silver,mentor_2131@university.edu,https://linkedin.com/in/mentor_2131,9,formal,"English,Tamil",78.6,0.88,4.43,,,,
M2132,Mentor_2132,Male,University of Peradeniya,Data Scientist,Cybersecurity,5,"Data Analysis,Cybersecurity,Python",Kandy,86.0,97.0,Bronze,mentor_2132@university.edu,https://linkedin.com/in/mentor_2132,6,casual,"English,Tamil",69.95,0.82,3.98,,,,
M2133,Mentor_2133,Male,NSBM,Lecturer,Cybersecurity,19,"Machine Learning,Python,Cybersecurity",Colombo,77.0,82.0,Gold,mentor_2133@university.edu,https://linkedin.com/in/mentor_2133,2,formal,"English,Tamil",61.37,0.78,3.95,,,,
M2134,Mentor_2134,Male,SLIIT,Consultant,AI/ML,3,"Java,Cybersecurity,Data Analysis",Kurunegala,58.0,89.0,Bronze,mentor_2134@university.edu,https://linkedin.com/in/mentor_2134,7,flexible,"English,Tamil",61.2,0.71,4.31,,,,
M2135,Mentor_2135,Female,NSBM,Lecturer,Cybersecurity,18,"Data Analysis,Python,Java",Kurunegala,51.0,53.0,Silver,mentor_2135@university.edu,https://linkedin.com/in/mentor_2135,10,structured,English,74.15,0.89,3.71,,,,
M2136,Mentor_2136,Male,SLIIT,Software Engineer,Software Engineering,4,"Cybersecurity,Data Analysis,Machine Learning",Gampaha,54.0,57.0,Bronze,mentor_2136@university.edu,https://linkedin.com/in/mentor_2136,5,casual,"English,Sinhala",88.92,0.79,3.68,,,,
M2137,Mentor_2137,Male,IIT Sri Lanka,Data Scientist,AI/ML,9,"Machine Learning,Python,Java",Gampaha,65.0,75.0,Silver,mentor_2137@university.edu,https://linkedin.com/in/mentor_2137,12,structured,"English,Tamil",88.4,0.79,4.82,,,,
M2138,Mentor_2138,Female,University of Peradeniya,Consultant,Business IT,18,"Python,Machine Learning,Cybersecurity",Kandy,74.0,61.0,Bronze,mentor_2138@university.edu,https://linkedin.com/in/mentor_2138,8,structured,"English,Sinhala",88.47,0.75,4.79,,,,
M2139,Mentor_2139,Male,University of Kelaniya,Consultant,Cybersecurity,5,"Java,Cloud Computing,Machine Learning",Galle,61.0,74.0,Bronze,mentor_2139@university.edu,https://linkedin.com/in/mentor_2139,3,formal,"English,Sinhala",84.1,0.81,4.5,,,,
M2140,Mentor_2140,Female,University of Moratuwa,Consultant,Cybersecurity,9,"Machine Learning,Java,Python",Colombo,84.0,95.0,Gold,mentor_2140@university.edu,https://linkedin.com/in/mentor_2140,9,casual,English,92.42,0.94,4.06,,,,
M2141,Mentor_2141,Male,University of Moratuwa,Consultant,AI/ML,17,"Python,Machine Learning,Cybersecurity",Kandy,54.0,100.0,Silver,mentor_2141@university.edu,https://linkedin.com/in/mentor_2141,17,casual,English,60.14,0.97,3.57,,,,
M2142,Mentor_2142,Female,SLIIT,Lecturer,Software Engineering,14,"Data Analysis,Cybersecurity,Java",Galle,71.0,89.0,Silver,mentor_2142@university.edu,https://linkedin.com/in/mentor_2142,18,formal,English,91.95,0.81,4.75,,,,
M2143,Mentor_2143,Female,IIT Sri Lanka,Consultant,Software Engineering,6,"Python,Data Analysis,Machine Learning",Galle,69.0,99.0,Gold,mentor_2143@university.edu,https://linkedin.com/in/mentor_2143,3,structured,"English,Sinhala",92.15,0.96,4.46,,,,
M2144,Mentor_2144,Female,University of Moratuwa,Consultant,Networking,17,"Cloud Computing,Data Analysis,Cybersecurity",Galle,74.0,100.0,Bronze,mentor_2144@university.edu,https://linkedin.com/in/mentor_2144,11,casual,"English,Tamil",76.69,0.89,4.07,,,,
M2145,Mentor_2145,Male,SLIIT,Lecturer,AI/ML,3,"Python,Machine Learning,Data Analysis",Galle,68.0,52.0,Gold,mentor_2145@university.edu,https://linkedin.com/in/mentor_2145,19,structured,"English,Sinhala",94.2,0.81,3.88,,,,
M2146,Mentor_2146,Male,IIT Sri Lanka,Data Scientist,Business IT,8,"Data Analysis,Cloud Computing,Python",Gampaha,56.0,58.0,Gold,mentor_2146@university.edu,https://linkedin.com/in/mentor_2146,4,flexible,English,67.22,0.97,4.02,,,,
M2147,Mentor_2147,Female,University of Peradeniya,Software Engineer,AI/ML,15,"Machine Learning,Python,Java",Kandy,92.0,76.0,Silver,mentor_2147@university.edu,https://linkedin.com/in/mentor_2147,4,casual,"English,Sinhala",81.14,0.97,3.52,,,,
M2148,Mentor_2148,Female,University of Colombo,Data Scientist,AI/ML,18,"Data Analysis,Cloud Computing,Cybersecurity",Galle,68.0,64.0,Silver,mentor_2148@university.edu,https://linkedin.com/in/mentor_2148,10,structured,English,73.25,0.88,4.06,,,,
M2149,Mentor_2149,Male,University of Moratuwa,Data Scientist,Cybersecurity,7,"Java,Machine Learning,Python",Kandy,89.0,53.0,Silver,mentor_2149@university.edu,https://linkedin.com/in/mentor_2149,2,casual,English,66.58,0.93,4.8,,,,
M2150,Mentor_2150,Male,University of Moratuwa,Lecturer,Networking,15,"Java,Data Analysis,Python",Colombo,67.0,62.0,Gold,mentor_2150@university.edu,https://linkedin.com/in/mentor_2150,2,casual,"English,Sinhala",71.24,0.95,4.94,,,,
